Arup





File WBBn_base_v48_base.gwb
Exported 02/02/2021 21:50:19

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Combination Case and Envelope Details
Cases for which results are not available are displayed in red" or, in case descriptions, within angle brackets."


Combination Cases

START_TABLE Combination Cases
Case,Name,Note,Permutation,Description
C71,Temp Comb 3-2,Vertical deck gradient (exp.) + Vertical arch gradient(exp.) + 0.35 (Uniform exp. + Hangers exp.),,A42 + A44 + 0.35(A40 + A46)
C72,Temp Comb 4-1,0.75(Vertical deck gradient (contr.) + Vertical arch gradient (contr.)) +  Uniform contr. + Hangers contr.,,0.75(A43 - A44) + A41 - A46
C73,Temp Comb 4-2,0.75(Vertical deck gradient (exp.) + Vertical arch gradient (exp.)) +  Uniform exp. + Hangers exp.,,0.75(A42 + A44) + A40 + A46
C74,Temp Comb 5-1,Vertical deck gradient (contr.) + Vertical arch gradient(contr.) + 0.35 (Uniform contr. + Hangers contr. + Arch uniform contr.),,A43 - A44 + 0.35(A41 - A46 - A49)
C75,Temp Comb 5-2,Vertical deck gradient (exp.) + Vertical arch gradient(exp.) + 0.35 (Uniform exp. + Hangers exp. + Arch uniform exp.),,A42 + A44 + 0.35(A40 + A46 + A49)
C76,Temp Comb 6-1,Vertical deck gradient (contr.) + Vertical arch gradient(contr.) + 0.35 (Uniform contr. + Arch uniform contr.),,A43 - A44 + 0.35(A41 - A49)
C77,Temp Comb 6-2,Vertical deck gradient (exp.) + Vertical arch gradient(exp.) + 0.35 (Uniform exp. + Arch uniform exp.),,A42 + A44 + 0.35(A40 + A49)
C78,Temp Comb 7-1,0.75(Vertical deck gradient (contr.) + Vertical arch gradient (contr.)) +  Uniform contr. + Hangers contr. + Arch uniform contr.,,0.75(A43 - A44) + A41 - A46 - A49
C79,Temp Comb 7-2,0.75(Vertical deck gradient (exp.) + Vertical arch gradient (exp.)) +  Uniform exp. + Hangers exp. + Arch uniform exp.,,0.75(A42 + A44) + A40 + A46 + A49
C80,Temp Comb 8-1,0.75(Vertical deck gradient (contr.) + Vertical arch gradient (contr.)) +  Uniform contr. + Arch uniform contr.,,0.75(A43 - A44) + A41 - A49
C81,Temp Comb 8-2,0.75(Vertical deck gradient (exp.) + Vertical arch gradient (exp.)) +  Uniform exp. + Arch uniform exp.,,0.75(A42 + A44) + A40 + A49
C82,Temp Comb 9-1,Horizontal deck gradient west + Horizontal arch gradient west + 0.35 Uniform exp.,,A47 + A45 + 0.35(A40)
C83,Temp Comb 9-2,Horizontal deck gradient east + Horizontal arch gradient east + 0.35 Uniform exp.,,A48 + A50 + 0.35(A40)
C84,Temp Comb 10-1,0.75(Horizontal deck gradient west + Horizontal arch gradient west) + Uniform exp.,,0.75(A47 + A45) + A40
