Arup





File WBBn_base_v48_traffic (Node effects)_solved.gwb
Exported 03/02/2021 16:31:59

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Displacements
Displacements reported at nodes;  fully restrained nodes are excluded
Output axes:  global
"Node list:  ""bearings top"""

START_TABLE Displacements
,,[mm],[mm],[mm],[mm],[rad],[rad],[rad],[rad],[mm]
Node,Case,Ux,Uy,Uz,|U|,Rxx,Ryy,Rzz,|R|,Uxy
12110,A52,-10.27,-0.3599,-0.02454,10.28,-55.10E-6,340.0E-6,-320.6E-6,470.6E-6,10.28
12110,A53,6.083,-2.689,-0.04772,6.651,-657.3E-6,0.002594,-58.80E-6,0.002677,6.651
12110,A54,3.823,-0.7260,-0.01976,3.891,-153.2E-6,-608.8E-6,120.4E-6,639.3E-6,3.891
12110,A55,-16.91,-1.219,-0.05394,16.96,-161.3E-6,0.001440,-475.8E-6,0.001525,16.96
12110,A56,15.92,-0.2748,-0.01452,15.93,-259.8E-6,172.3E-6,380.0E-6,491.5E-6,15.93
12110,A57,-8.769,-5.967,-0.09556,10.61,-0.001176,0.002856,-272.7E-6,0.003100,10.61
12110,A58,3.403,-0.03778,29.12E-6,3.403,-77.93E-6,111.0E-6,60.45E-6,148.5E-6,3.403
12110,A59,9.306,-5.968,-0.05750,11.06,-0.001196,0.001956,51.90E-6,0.002293,11.06
12110,A60,-3.404,-0.03693,-0.009733,3.405,36.93E-6,430.7E-6,-71.68E-6,438.2E-6,3.405
12110,A61,-12.35,-1.283,-0.06741,12.42,3.718E-6,0.002580,-216.3E-6,0.002589,12.42
12110,A62,12.40,-2.548,-0.02485,12.66,-842.3E-6,747.9E-6,34.04E-6,0.001127,12.66
12110,A63,4.074,-1.110,-0.02648,4.223,-269.0E-6,-230.8E-6,81.95E-6,363.8E-6,4.223
12110,A64,7.041,-2.725,-0.04518,7.550,-674.7E-6,0.002439,-41.17E-6,0.002531,7.550
12110,A65,-2.939,-0.4645,-0.04300,2.976,-309.3E-6,250.9E-6,-247.3E-6,468.8E-6,2.976
12110,A66,0.6537,-2.982,-0.004593,3.052,-406.1E-6,-59.75E-6,70.20E-6,416.4E-6,3.052
12110,A67,2.464,-0.4655,-0.04604,2.508,-112.7E-6,759.9E-6,109.8E-6,776.0E-6,2.508
12110,A68,-0.3655,-2.981,-0.01278,3.004,-700.6E-6,-186.1E-6,12.78E-6,725.0E-6,3.004
12110,A69,12.40,-2.548,-0.02485,12.66,-842.3E-6,747.9E-6,34.04E-6,0.001127,12.66
12110,A70,-12.35,-1.283,-0.06741,12.42,3.718E-6,0.002580,-216.3E-6,0.002589,12.42
12110,A71,0.7644,-7.521,-0.07701,7.560,-0.001429,0.002619,-93.72E-6,0.002984,7.560
12110,A72,-2.636,-0.3376,-0.04143,2.658,-194.6E-6,27.34E-6,-140.2E-6,241.4E-6,2.658
12110,A73,0.2000,-4.403,-0.007444,4.407,-795.6E-6,-80.35E-6,74.98E-6,803.1E-6,4.407
12110,C1421,18.51,-2.888,-0.03536,18.74,-825.2E-6,0.001959,256.4E-6,0.002141,18.74
12110,C1422,-17.02,-0.4047,-0.04821,17.02,-91.92E-6,553.1E-6,-532.0E-6,772.9E-6,17.02
12110,C1423,16.91,-3.247,-0.04128,17.22,-862.4E-6,0.002294,204.8E-6,0.002459,17.22
12110,C1424,-15.20,-0.4087,-0.04185,15.21,-128.1E-6,140.6E-6,-502.6E-6,537.4E-6,15.21
12110,C1425,9.883,-3.141,-0.04829,10.37,-797.7E-6,0.002763,-20.60E-6,0.002876,10.37
12110,C1426,1.579,-3.108,-0.02317,3.486,-469.7E-6,-577.3E-6,83.33E-6,748.9E-6,3.486
12110,C1427,10.74,-1.782,-0.05641,10.89,-623.2E-6,0.002238,29.18E-6,0.002323,10.89
12110,C1428,-0.4016,-0.08625,-513.6E-6,0.4108,-20.26E-6,-41.70E-6,-14.17E-6,48.47E-6,0.4108
12110,C1429,10.96,-1.695,-0.05778,11.09,-592.3E-6,0.002244,66.48E-6,0.002322,11.09
12110,C1430,-0.3087,-1.070,-0.001103,1.113,-125.2E-6,-11.75E-6,7.045E-6,126.0E-6,1.113
12110,C1431,13.60,-1.849,-0.05478,13.72,-590.5E-6,0.002236,193.0E-6,0.002321,13.72
12110,C1432,-9.234,-1.558,-0.02063,9.364,-267.9E-6,-82.79E-6,-302.0E-6,412.1E-6,9.364
12110,C1433,-10.88,-0.4288,-0.04979,10.89,-271.4E-6,768.8E-6,-487.1E-6,949.7E-6,10.89
12110,C1434,6.312,-6.596,-0.03820,9.129,-997.0E-6,0.001089,209.2E-6,0.001491,9.129
12110,C1435,-11.86,-0.3002,-0.03796,11.86,-204.5E-6,211.0E-6,-490.1E-6,571.4E-6,11.86
