Arup





File WBBn_base_v48_base.gwb
Exported 02/02/2021 23:28:10

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Displacements
Displacements reported at nodes;  fully restrained nodes are excluded
Output axes:  global
"Node list:  ""bearings top"""
Some of the combined results are from different analysis stages. The user should ensure that this combination is valid.

START_TABLE Displacements
,,[mm],[mm],[mm],[mm],[rad],[rad],[rad],[rad],[mm]
Node,Case,Ux,Uy,Uz,|U|,Rxx,Ryy,Rzz,|R|,Uxy
12110,A103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12110,A104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12110,A105,-189.2E-6,0.04063,0.007056,0.04123,20.32E-6,93.28E-6,16.68E-6,96.91E-6,0.04063
12110,A106,-82.39E-6,-0.4180,417.9E-6,0.4180,-78.76E-6,8.344E-6,-1.995E-6,79.23E-6,0.4180
12110,A107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12110,A108,-4.426E-6,0.06291,0.02647,0.06825,42.54E-6,148.9E-6,34.65E-6,158.7E-6,0.06291
12110,A109,219.3E-6,-0.1057,-0.03304,0.1108,-60.88E-6,-217.4E-6,-47.74E-6,230.8E-6,0.1057
12110,A110,-87.28E-6,-0.3567,-478.5E-6,0.3567,-68.77E-6,-5.021E-6,-3.520E-6,69.04E-6,0.3567
12110,A111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12110,A112,72.64E-6,-0.1645,-0.03297,0.1677,-72.61E-6,-224.0E-6,-49.05E-6,240.5E-6,0.1645
12110,A113,-43.72E-6,0.1685,0.03455,0.1720,76.07E-6,237.9E-6,51.96E-6,255.1E-6,0.1685
12110,A114,-378.2E-6,-0.1079,-151.9E-6,0.1079,-21.06E-6,1.158E-6,-894.2E-9,21.11E-6,0.1079
12110,A115,-633.9E-6,-0.2101,-0.07110,0.2218,-43.97E-6,0.001708,17.60E-6,0.001709,0.2101
12110,A116,-153.7E-9,-0.001089,-139.7E-6,0.001098,-583.1E-9,288.6E-9,-152.2E-9,668.2E-9,0.001089
12110,A117,165.5E-6,-0.7331,-0.1010,0.7400,-388.4E-6,0.003223,-112.0E-6,0.003248,0.7331
12110,A118,-139.9E-6,-2.792E-6,-2.833E-9,139.9E-6,-482.3E-12,948.1E-9,-4.891E-9,948.1E-9,139.9E-6
12110,A119,46.93E-6,-455.4E-9,1.614E-9,46.93E-6,-169.5E-12,-752.4E-9,1.609E-9,752.4E-9,46.93E-6
12110,A120,-7.674E-6,3.629E-6,-710.0E-12,8.489E-6,793.7E-12,1.609E-6,-228.7E-12,1.609E-6,8.489E-6
12110,A121,8.081E-6,-4.551E-6,1.085E-9,9.274E-6,-1.301E-9,-1.472E-6,134.9E-12,1.472E-6,9.274E-6
12110,A122,-6.342E-6,7.955E-6,-483.9E-12,10.17E-6,1.940E-9,2.515E-6,-1.586E-12,2.515E-6,10.17E-6
12110,A123,2.336E-6,-9.510E-6,507.1E-12,9.793E-6,-3.219E-9,-2.425E-6,-89.01E-12,2.425E-6,9.793E-6
12110,A124,-2.191E-6,19.78E-6,-28.69E-12,19.90E-6,6.718E-9,3.823E-6,1.041E-9,3.823E-6,19.90E-6
12110,A125,2.108E-6,-29.61E-6,25.76E-12,29.69E-6,-12.75E-9,-3.755E-6,-3.468E-9,3.755E-6,29.69E-6
12110,A126,-2.061E-6,42.62E-6,447.8E-12,42.66E-6,19.54E-9,5.829E-6,849.9E-12,5.829E-6,42.66E-6
12110,A127,6.131E-6,-125.6E-6,-421.2E-12,125.8E-6,-79.47E-9,-5.922E-6,-14.74E-9,5.923E-6,125.8E-6
12110,A128,-6.981E-6,167.7E-6,1.002E-9,167.8E-6,90.56E-9,9.358E-6,24.34E-9,9.359E-6,167.8E-6
12110,A129,7.424E-6,-158.1E-6,-666.3E-12,158.3E-6,-203.8E-9,-7.522E-6,19.85E-9,7.525E-6,158.3E-6
12110,A130,-44.92E-6,964.0E-6,1.517E-9,965.0E-6,741.5E-9,17.72E-6,147.5E-9,17.74E-6,965.0E-6
12110,A131,137.2E-6,-0.002882,-2.676E-9,0.002885,-2.027E-6,-9.709E-6,-1.003E-6,9.969E-6,0.002885
12110,C1,-0.07872,-10.82,-0.2576,10.82,-0.002295,0.007252,-321.1E-6,0.007613,10.82
12110,C2,-0.07867,-10.47,-0.2490,10.48,-0.002222,0.007014,-313.1E-6,0.007364,10.47
12110,C4,-0.004832,-5.705,-0.1819,5.708,-0.001346,0.005185,-234.0E-6,0.005362,5.705
12110,C5,-0.004602,-5.433,-0.1732,5.436,-0.001282,0.004938,-222.9E-6,0.005107,5.433
12110,C6,26.86E-6,-0.1255,-0.005101,0.1256,-32.08E-6,152.6E-6,-7.049E-6,156.1E-6,0.1255
12110,C7,-0.07795,-0.4933,-0.01134,0.4996,-106.6E-6,337.1E-6,-22.86E-6,354.3E-6,0.4995
12110,C8,161.2E-6,-2.975,-0.05977,2.976,-629.1E-6,0.001765,-122.5E-6,0.001878,2.975
12110,C9,128.0E-6,-2.362,-0.04746,2.363,-499.5E-6,0.001402,-97.23E-6,0.001491,2.362
12110,C11,-0.08259,-9.299,-0.2581,9.303,-0.002114,0.007440,-386.4E-6,0.007745,9.299
12110,C12,-0.08239,-8.414,-0.2371,8.418,-0.001920,0.006830,-350.0E-6,0.007103,8.415
12110,C20,7.753,-0.3516,0.01152,7.761,-41.37E-6,-142.5E-6,170.9E-6,226.3E-6,7.761
12110,C21,7.754,-1.394,-0.01018,7.878,-263.4E-6,506.2E-6,126.9E-6,584.6E-6,7.878
12110,C22,-7.754,1.394,0.01018,7.878,263.4E-6,-506.2E-6,-126.9E-6,584.6E-6,7.878
12110,C23,-7.753,0.3516,-0.01152,7.761,41.37E-6,142.5E-6,-170.9E-6,226.3E-6,7.761
12110,C24,31.67,11.07,0.03739,33.55,24.87E-6,-746.4E-6,0.001080,0.001313,33.55
12110,C25,31.67,10.03,0.01568,33.22,-197.2E-6,-97.66E-6,0.001036,0.001059,33.22
12110,C26,-31.67,-9.934,-0.01568,33.19,208.3E-6,97.20E-6,-0.001030,0.001055,33.19
12110,C27,-31.67,-10.98,-0.03739,33.52,-13.72E-6,745.9E-6,-0.001074,0.001308,33.52
12110,C28,20.42,3.868,0.02214,20.79,-75.84E-6,-311.3E-6,594.2E-6,675.1E-6,20.79
12110,C29,20.42,2.825,430.3E-6,20.62,-297.9E-6,337.4E-6,550.2E-6,710.9E-6,20.62
12110,C30,-4.915,-4.534,908.5E-6,6.687,-2.452E-6,26.15E-6,-250.0E-6,251.4E-6,6.687
12110,C31,-4.915,-5.576,-0.02080,7.433,-224.5E-6,674.9E-6,-293.9E-6,769.6E-6,7.433
12110,C32,5.180,-0.2346,0.007710,5.186,-27.57E-6,-95.54E-6,114.2E-6,151.4E-6,5.186
12110,C33,5.180,-0.9322,-0.006816,5.263,-176.2E-6,338.6E-6,84.75E-6,391.0E-6,5.263
12110,C34,-5.180,0.9322,0.006816,5.263,176.2E-6,-338.6E-6,-84.75E-6,391.0E-6,5.263
12110,C35,-5.180,0.2346,-0.007710,5.186,27.57E-6,95.54E-6,-114.2E-6,151.4E-6,5.186
12110,C36,21.14,7.392,0.02498,22.40,16.73E-6,-498.8E-6,721.2E-6,877.0E-6,22.40
12110,C37,21.14,6.694,0.01045,22.18,-131.9E-6,-64.64E-6,691.8E-6,707.2E-6,22.18
12110,C38,-21.14,-6.632,-0.01045,22.16,139.4E-6,64.33E-6,-687.6E-6,704.5E-6,22.16
12110,C39,-21.14,-7.329,-0.02498,22.38,-9.217E-6,498.5E-6,-717.0E-6,873.3E-6,22.38
12110,C40,13.64,2.583,0.01480,13.88,-50.59E-6,-208.2E-6,396.8E-6,450.9E-6,13.88
12110,C41,13.64,1.885,270.5E-6,13.77,-199.2E-6,225.9E-6,367.3E-6,475.0E-6,13.77
12110,C42,-3.276,-3.027,623.1E-6,4.461,-1.535E-6,17.01E-6,-166.7E-6,167.6E-6,4.461
12110,C43,-3.276,-3.724,-0.01390,4.961,-150.1E-6,451.1E-6,-196.2E-6,514.3E-6,4.960
12110,C50,76.25E-6,13.17,-147.3E-9,13.17,-269.4E-6,65.45E-6,7.210E-6,277.4E-6,13.17
12110,C51,-69.53E-6,-12.01,134.3E-9,12.01,245.7E-6,-59.67E-6,-6.574E-6,252.9E-6,12.01
12110,C52,176.5E-6,-1.239,266.4E-9,1.239,-455.5E-6,-54.30E-6,-73.64E-6,464.6E-6,1.239
12110,C53,-441.2E-6,3.098,-666.0E-9,3.098,0.001139,135.7E-6,184.1E-6,0.001161,3.098
12110,C54,41.36E-6,0.02864,235.1E-9,0.02864,12.71E-6,-253.3E-6,6.378E-6,253.7E-6,0.02864
12110,C55,-41.36E-6,-0.02864,-235.1E-9,0.02864,-12.71E-6,253.3E-6,-6.378E-6,253.7E-6,0.02864
12110,C56,0.05433,0.003939,39.28E-9,0.05447,-21.78E-6,-158.3E-6,8.640E-6,160.1E-6,0.05447
12110,C57,-0.05433,-0.003939,-39.28E-9,0.05447,21.78E-6,158.3E-6,-8.640E-6,160.1E-6,0.05447
12110,C58,-0.05430,0.004536,105.1E-9,0.05449,20.69E-6,-160.4E-6,-9.688E-6,162.1E-6,0.05449
12110,C59,0.05430,-0.004536,-105.1E-9,0.05449,-20.69E-6,160.4E-6,9.688E-6,162.1E-6,0.05449
12110,C60,-4.964E-6,0.002291,-4.426E-9,0.002291,1.813E-6,-50.61E-6,1.209E-6,50.66E-6,0.002291
12110,C61,4.964E-6,-0.002291,4.426E-9,0.002291,-1.813E-6,50.61E-6,-1.209E-6,50.66E-6,0.002291
12110,C62,-8.386,-0.8760,-34.59E-6,8.431,57.79E-6,233.4E-6,-221.3E-6,326.8E-6,8.431
12110,C63,8.551,-0.8813,-89.56E-9,8.597,-43.10E-6,5.698E-6,262.4E-6,266.0E-6,8.597
12110,C64,-74.30E-6,-0.02542,-433.2E-9,0.02542,3.260E-6,956.3E-6,3.144E-6,956.3E-6,0.02542
12110,C65,74.30E-6,0.02542,433.2E-9,0.02542,-3.260E-6,-956.3E-6,-3.144E-6,956.3E-6,0.02542
12110,C66,161.8E-6,3.341,-20.30E-9,3.341,-562.5E-6,222.0E-6,-77.49E-6,609.7E-6,3.341
12110,C67,-424.2E-6,-1.076,-383.9E-9,1.076,0.001237,-138.5E-6,188.2E-6,0.001259,1.076
12110,C68,177.6E-6,12.22,-123.9E-9,12.22,-620.6E-6,214.7E-6,-52.80E-6,658.8E-6,12.22
12110,C69,-369.4E-6,-9.662,-188.8E-9,9.662,0.001109,-147.9E-6,136.3E-6,0.001127,9.662
12110,C70,160.1E-6,3.342,-21.85E-9,3.342,-561.9E-6,204.2E-6,-77.07E-6,602.8E-6,3.342
12110,C71,-422.5E-6,-1.077,-382.3E-9,1.077,0.001237,-120.8E-6,187.7E-6,0.001257,1.077
12110,C72,172.6E-6,12.22,-128.3E-9,12.22,-618.8E-6,164.1E-6,-51.59E-6,642.2E-6,12.22
12110,C73,-364.5E-6,-9.664,-184.4E-9,9.664,0.001107,-97.27E-6,135.1E-6,0.001120,9.664
12110,C74,134.1E-6,3.333,-173.5E-9,3.333,-560.7E-6,539.0E-6,-75.97E-6,781.5E-6,3.333
12110,C75,-396.5E-6,-1.068,-230.7E-9,1.068,0.001236,-455.5E-6,186.6E-6,0.001330,1.068
12110,C76,135.8E-6,3.332,-171.9E-9,3.332,-561.4E-6,556.7E-6,-76.39E-6,794.3E-6,3.332
12110,C77,-398.2E-6,-1.067,-232.2E-9,1.067,0.001236,-473.2E-6,187.1E-6,0.001337,1.067
12110,C78,98.34E-6,12.19,-561.5E-9,12.19,-615.5E-6,0.001120,-48.45E-6,0.001279,12.19
12110,C79,-290.2E-6,-9.638,248.8E-9,9.638,0.001104,-0.001054,131.9E-6,0.001532,9.638
